runs,player
28,de villiers
14,de villiers
14,de villiers
52,de villiers
21,de villiers
10,de villiers
19,de villiers
3,de villiers
92,de villiers
109,de villiers
98,de villiers
47,de villiers
41,de villiers
20,de villiers
33,de villiers
62,de villiers
178,de villiers
114,de villiers
12,de villiers
68,de villiers
12,de villiers
61,de villiers
8,de villiers
2,de villiers
1,de villiers
8,de villiers
7,de villiers
50,de villiers
46,de villiers
12,de villiers
4,de villiers
27,de villiers
97,de villiers
13,de villiers
2,de villiers
5,de villiers
65,de villiers
24,de villiers
95,de villiers
33,de villiers
6,de villiers
17,de villiers
9,de villiers
47,de villiers
1,de villiers
22,de villiers
4,de villiers
12,de villiers
2,de villiers
15,de villiers
11,de villiers
4,de villiers
77,de villiers
1,de villiers
45,de villiers
8,de villiers
33,de villiers
33,de villiers
59,de villiers
60,de villiers
2,de villiers
23,de villiers
103,de villiers
46,de villiers
19,de villiers
1,de villiers
44,de villiers
11,de villiers
217,de villiers
25,de villiers
7,de villiers
42,de villiers
174,de villiers
5,de villiers
27,de villiers
39,de villiers
97,de villiers
3,de villiers
0,de villiers
63,de villiers
106,de villiers
7,de villiers
11,de villiers
56,de villiers
104,de villiers
3,de villiers
3,de villiers
84,de villiers
163,de villiers
32,de villiers
64,de villiers
50,de villiers
2,de villiers
36,de villiers
34,de villiers
58,de villiers
53,de villiers
12,de villiers
3,de villiers
68,de villiers
19,de villiers
135,de villiers
31,de villiers
73,de villiers
4,de villiers
5,de villiers
278,de villiers
25,de villiers
129,de villiers
0,de villiers
33,de villiers
26,de villiers
13,de villiers
8,de villiers
64,de villiers
73,de villiers
99,de villiers
25,de villiers
69,de villiers
160,de villiers
0,de villiers
29,de villiers
83,de villiers
38,de villiers
68,de villiers
47,de villiers
44,de villiers
27,de villiers
43,de villiers
40,de villiers
29,de villiers
1,de villiers
33,de villiers
4,de villiers
169,de villiers
67,de villiers
51,de villiers
31,de villiers
103,de villiers
61,de villiers
36,de villiers
121,de villiers
19,de villiers
90,de villiers
164,de villiers
13,de villiers
103,de villiers
74,de villiers
91,de villiers
48,de villiers
116,de villiers
29,de villiers
14,de villiers
43,de villiers
21,de villiers
51,de villiers
37,de villiers
12,de villiers
7,de villiers
152,de villiers
10,de villiers
148,de villiers
63,de villiers
16,de villiers
85,de villiers
0,de villiers
9,de villiers
42,de villiers
43,de villiers
49,de villiers
37,de villiers
88,de villiers
36,de villiers
0,de villiers
0,de villiers
0,de villiers
53,de villiers
65,de villiers
35,de villiers
20,de villiers
80,de villiers
5,de villiers
6,de villiers
71,de villiers
0,de villiers
126,de villiers
28,de villiers
64,de villiers
63,de villiers
69,de villiers
6,de villiers
4,kohli
15,kohli
0,kohli
27,kohli
30,kohli
52,kohli
63,kohli
11,kohli
0,kohli
23,kohli
9,kohli
44,kohli
75,kohli
116,kohli
22,kohli
58,kohli
103,kohli
51,kohli
19,kohli
14,kohli
19,kohli
7,kohli
6,kohli
20,kohli
103,kohli
107,kohli
34,kohli
67,kohli
34,kohli
1,kohli
41,kohli
3,kohli
57,kohli
119,kohli
96,kohli
46,kohli
11,kohli
4,kohli
67,kohli
38,kohli
105,kohli
1,kohli
8,kohli
25,kohli
0,kohli
39,kohli
28,kohli
0,kohli
7,kohli
6,kohli
20,kohli
115,kohli
141,kohli
19,kohli
1,kohli
169,kohli
54,kohli
147,kohli
46,kohli
14,kohli
103,kohli
3,kohli
78,kohli
10,kohli
18,kohli
21,kohli
1,kohli
29,kohli
22,kohli
16,kohli
44,kohli
88,kohli
200,kohli
44,kohli
3,kohli
4,kohli
9,kohli
18,kohli
9,kohli
45,kohli
211,kohli
17,kohli
40,kohli
49,kohli
167,kohli
81,kohli
62,kohli
6,kohli
235,kohli
15,kohli
204,kohli
38,kohli
0,kohli
13,kohli
12,kohli
15,kohli
6,kohli
3,kohli
103,kohli
13,kohli
42,kohli
0,kohli
104,kohli
213,kohli
243,kohli
50,kohli
5,kohli
28,kohli
153,kohli
5,kohli
54,kohli
41,kohli
149,kohli
51,kohli
23,kohli
17,kohli
97,kohli
103,kohli
46,kohli
58,kohli
49,kohli
0,kohli
139,kohli
45,kohli
3,kohli
34,kohli
123,kohli
17,kohli
82,kohli
0,kohli
23,kohli
9,kohli
51,kohli
76,kohli
0,kohli
20,kohli
31,kohli
254,kohli
12,kohli
0,kohli
136,kohli
2,kohli
19,kohli
3,kohli
14,kohli
74,kohli
4,kohli
11,kohli
72,kohli
0,kohli
62,kohli
27,kohli
0,kohli
44,kohli
13,kohli
0,kohli
42,kohli
20,kohli
7,kohli
55,kohli
50,kohli
44,kohli
0,kohli
36,kohli
35,kohli
18,kohli
79,kohli
29,kohli
45,kohli
23,kohli
13,kohli
11,kohli
20,kohli
1,kohli
19,kohli
24,kohli
1,kohli
12,kohli
44,kohli
20,kohli
22,kohli
13,kohli
186,kohli
14,kohli
49,kohli
76,kohli
121,kohli
38,kohli
76,kohli
46,kohli
12,kohli
6,kohli
17,kohli
47,kohli
